,Year,State,Age Group,Fertility rate
1722,2010,Pahang,25 - 29,147
1723,2010,Pahang,30 - 34,145
1724,2010,Pahang,35 - 39,79
1725,2010,Pahang,40 - 44,26
1726,2010,Pahang,45 - 49,3
1727,2010,Pahang,Total,2471
1728,2009,Pahang,15 - 19,16
1729,2009,Pahang,20 - 24,84
1730,2009,Pahang,25 - 29,148
1731,2009,Pahang,30 - 34,146
1732,2009,Pahang,35 - 39,81
1733,2009,Pahang,40 - 44,25
1734,2009,Pahang,45 - 49,2
1735,2009,Pahang,Total,2513
1736,2008,Pahang,15 - 19,16
1737,2008,Pahang,20 - 24,81
1738,2008,Pahang,25 - 29,147
1739,2008,Pahang,30 - 34,151
1740,2008,Pahang,35 - 39,83
1741,2008,Pahang,40 - 44,27
1742,2008,Pahang,45 - 49,2
1743,2008,Pahang,Total,2531
1744,2007,Pahang,15 - 19,16
1745,2007,Pahang,20 - 24,74
1746,2007,Pahang,25 - 29,157
1747,2007,Pahang,30 - 34,143
1748,2007,Pahang,35 - 39,86
1749,2007,Pahang,40 - 44,26
1750,2007,Pahang,45 - 49,2
1751,2007,Pahang,Total,2516
1752,2006,Pahang,15 - 19,16
1753,2006,Pahang,20 - 24,74
1754,2006,Pahang,25 - 29,162
1755,2006,Pahang,30 - 34,146
1756,2006,Pahang,35 - 39,83
1757,2006,Pahang,40 - 44,28
1758,2006,Pahang,45 - 49,3
1759,2006,Pahang,Total,2560
1760,2005,Pahang,15 - 19,15
1761,2005,Pahang,20 - 24,78
1762,2005,Pahang,25 - 29,175
1763,2005,Pahang,30 - 34,152
1764,2005,Pahang,35 - 39,91
1765,2005,Pahang,40 - 44,29
1766,2005,Pahang,45 - 49,3
1767,2005,Pahang,Total,2718
1768,2004,Pahang,15 - 19,16
1769,2004,Pahang,20 - 24,81
1770,2004,Pahang,25 - 29,182
1771,2004,Pahang,30 - 34,156
1772,2004,Pahang,35 - 39,89
1773,2004,Pahang,40 - 44,30
1774,2004,Pahang,45 - 49,3
1775,2004,Pahang,Total,2796
1776,2003,Pahang,15 - 19,14
1777,2003,Pahang,20 - 24,87
1778,2003,Pahang,25 - 29,192
1779,2003,Pahang,30 - 34,156
1780,2003,Pahang,35 - 39,90
1781,2003,Pahang,40 - 44,32
1782,2003,Pahang,45 - 49,4
1783,2003,Pahang,Total,2880
1784,2002,Pahang,15 - 19,15
1785,2002,Pahang,20 - 24,97
1786,2002,Pahang,25 - 29,199
1787,2002,Pahang,30 - 34,158
1788,2002,Pahang,35 - 39,93
1789,2002,Pahang,40 - 44,35
1790,2002,Pahang,45 - 49,4
1791,2002,Pahang,Total,3001
1792,2001,Pahang,15 - 19,15
1793,2001,Pahang,20 - 24,110
1794,2001,Pahang,25 - 29,210
1795,2001,Pahang,30 - 34,155
1796,2001,Pahang,35 - 39,98
1797,2001,Pahang,40 - 44,36
1798,2001,Pahang,45 - 49,4
1799,2001,Pahang,Total,3137
1800,2018,Perak,15 - 19,6.15736
1801,2018,Perak,20 - 24,34.488
1802,2018,Perak,25 - 29,101.747
1803,2018,Perak,30 - 34,131.643
1804,2018,Perak,35 - 39,77.9042
1805,2018,Perak,40 - 44,17.9648
1806,2018,Perak,45 - 49,1.00991
1807,2018,Perak,Total,1854.57
1808,2017,Perak,15 - 19,6
1809,2017,Perak,20 - 24,38
1810,2017,Perak,25 - 29,115
1811,2017,Perak,30 - 34,136
1812,2017,Perak,35 - 39,76
1813,2017,Perak,40 - 44,17
1814,2017,Perak,45 - 49,1
1815,2017,Perak,Total,1947
1816,2016,Perak,15 - 19,7
1817,2016,Perak,20 - 24,40
1818,2016,Perak,25 - 29,124
1819,2016,Perak,30 - 34,144
1820,2016,Perak,35 - 39,76
1821,2016,Perak,40 - 44,17
1822,2016,Perak,45 - 49,1
1823,2016,Perak,Total,2045
1824,2015,Perak,15 - 19,8
1825,2015,Perak,20 - 24,42
1826,2015,Perak,25 - 29,133
1827,2015,Perak,30 - 34,150
1828,2015,Perak,35 - 39,75
1829,2015,Perak,40 - 44,18
1830,2015,Perak,45 - 49,1
1831,2015,Perak,Total,2133
1832,2014,Perak,15 - 19,8
1833,2014,Perak,20 - 24,43
1834,2014,Perak,25 - 29,143
1835,2014,Perak,30 - 34,153
1836,2014,Perak,35 - 39,72
1837,2014,Perak,40 - 44,17
1838,2014,Perak,45 - 49,1
1839,2014,Perak,Total,2186
1840,2013,Perak,15 - 19,8
1841,2013,Perak,20 - 24,45
1842,2013,Perak,25 - 29,144
1843,2013,Perak,30 - 34,148
1844,2013,Perak,35 - 39,69
1845,2013,Perak,40 - 44,17
1846,2013,Perak,45 - 49,1
1847,2013,Perak,Total,2157
1848,2012,Perak,15 - 19,9
1849,2012,Perak,20 - 24,51
1850,2012,Perak,25 - 29,163
1851,2012,Perak,30 - 34,157
1852,2012,Perak,35 - 39,70
1853,2012,Perak,40 - 44,18
1854,2012,Perak,45 - 49,1
1855,2012,Perak,Total,2346
1856,2011,Perak,15 - 19,9
1857,2011,Perak,20 - 24,56
1858,2011,Perak,25 - 29,171
1859,2011,Perak,30 - 34,150
1860,2011,Perak,35 - 39,75
1861,2011,Perak,40 - 44,17
1862,2011,Perak,45 - 49,1
1863,2011,Perak,Total,2390
1864,2010,Perak,15 - 19,9
1865,2010,Perak,20 - 24,60
1866,2010,Perak,25 - 29,175
1867,2010,Perak,30 - 34,137
1868,2010,Perak,35 - 39,70
1869,2010,Perak,40 - 44,17
1870,2010,Perak,45 - 49,1
1871,2010,Perak,Total,2341
1872,2009,Perak,15 - 19,10
1873,2009,Perak,20 - 24,66
1874,2009,Perak,25 - 29,176
1875,2009,Perak,30 - 34,144
1876,2009,Perak,35 - 39,72
1877,2009,Perak,40 - 44,18
1878,2009,Perak,45 - 49,1
1879,2009,Perak,Total,2436
1880,2008,Perak,15 - 19,10
1881,2008,Perak,20 - 24,69
1882,2008,Perak,25 - 29,172
1883,2008,Perak,30 - 34,147
1884,2008,Perak,35 - 39,73
1885,2008,Perak,40 - 44,19
1886,2008,Perak,45 - 49,1
1887,2008,Perak,Total,2454
1888,2007,Perak,15 - 19,9
1889,2007,Perak,20 - 24,72
1890,2007,Perak,25 - 29,170
1891,2007,Perak,30 - 34,146
1892,2007,Perak,35 - 39,71
1893,2007,Perak,40 - 44,19
1894,2007,Perak,45 - 49,2
1895,2007,Perak,Total,2442
1896,2006,Perak,15 - 19,10
1897,2006,Perak,20 - 24,73
1898,2006,Perak,25 - 29,170
1899,2006,Perak,30 - 34,149
1900,2006,Perak,35 - 39,74
1901,2006,Perak,40 - 44,20
1902,2006,Perak,45 - 49,2
1903,2006,Perak,Total,2486
1904,2005,Perak,15 - 19,10
1905,2005,Perak,20 - 24,74
1906,2005,Perak,25 - 29,176
1907,2005,Perak,30 - 34,151
1908,2005,Perak,35 - 39,76
1909,2005,Perak,40 - 44,22
1910,2005,Perak,45 - 49,2
1911,2005,Perak,Total,2556
1912,2004,Perak,15 - 19,11
1913,2004,Perak,20 - 24,81
1914,2004,Perak,25 - 29,186
1915,2004,Perak,30 - 34,158
1916,2004,Perak,35 - 39,80
1917,2004,Perak,40 - 44,24
1918,2004,Perak,45 - 49,2
1919,2004,Perak,Total,2701
1920,2003,Perak,15 - 19,11
1921,2003,Perak,20 - 24,85
1922,2003,Perak,25 - 29,197
1923,2003,Perak,30 - 34,156
1924,2003,Perak,35 - 39,83
1925,2003,Perak,40 - 44,24
1926,2003,Perak,45 - 49,2
1927,2003,Perak,Total,2792
1928,2002,Perak,15 - 19,12
1929,2002,Perak,20 - 24,95
1930,2002,Perak,25 - 29,213
1931,2002,Perak,30 - 34,163
1932,2002,Perak,35 - 39,87
1933,2002,Perak,40 - 44,26
1934,2002,Perak,45 - 49,2
1935,2002,Perak,Total,3000
1936,2001,Perak,15 - 19,12
1937,2001,Perak,20 - 24,106
1938,2001,Perak,25 - 29,219
1939,2001,Perak,30 - 34,165
1940,2001,Perak,35 - 39,92
1941,2001,Perak,40 - 44,28
1942,2001,Perak,45 - 49,3
1943,2001,Perak,Total,3126
1944,2018,Perlis,15 - 19,9.57817
1945,2018,Perlis,20 - 24,49.0204
1946,2018,Perlis,25 - 29,110.067
1947,2018,Perlis,30 - 34,142.011
1948,2018,Perlis,35 - 39,95.8414
1949,2018,Perlis,40 - 44,25.4556
1950,2018,Perlis,45 - 49,2.085
1951,2018,Perlis,Total,2170.29
1952,2017,Perlis,15 - 19,10
1953,2017,Perlis,20 - 24,46
1954,2017,Perlis,25 - 29,130
1955,2017,Perlis,30 - 34,146
1956,2017,Perlis,35 - 39,95
1957,2017,Perlis,40 - 44,22
1958,2017,Perlis,45 - 49,1
1959,2017,Perlis,Total,2255
1960,2016,Perlis,15 - 19,12
1961,2016,Perlis,20 - 24,44
1962,2016,Perlis,25 - 29,152
1963,2016,Perlis,30 - 34,146
1964,2016,Perlis,35 - 39,82
1965,2016,Perlis,40 - 44,20
1966,2016,Perlis,45 - 49,1
1967,2016,Perlis,Total,2284
1968,2015,Perlis,15 - 19,12
1969,2015,Perlis,20 - 24,43
1970,2015,Perlis,25 - 29,159
1971,2015,Perlis,30 - 34,144
1972,2015,Perlis,35 - 39,88
1973,2015,Perlis,40 - 44,21
1974,2015,Perlis,45 - 49,2
1975,2015,Perlis,Total,2354
1976,2014,Perlis,15 - 19,11
1977,2014,Perlis,20 - 24,50
1978,2014,Perlis,25 - 29,180
1979,2014,Perlis,30 - 34,154
1980,2014,Perlis,35 - 39,93
1981,2014,Perlis,40 - 44,19
1982,2014,Perlis,45 - 49,1
1983,2014,Perlis,Total,2543
1984,2013,Perlis,15 - 19,10
1985,2013,Perlis,20 - 24,53
1986,2013,Perlis,25 - 29,170
1987,2013,Perlis,30 - 34,144
1988,2013,Perlis,35 - 39,74
1989,2013,Perlis,40 - 44,18
1990,2013,Perlis,45 - 49,1
1991,2013,Perlis,Total,2350
1992,2012,Perlis,15 - 19,11
1993,2012,Perlis,20 - 24,59
1994,2012,Perlis,25 - 29,176
1995,2012,Perlis,30 - 34,152
1996,2012,Perlis,35 - 39,80
1997,2012,Perlis,40 - 44,18
1998,2012,Perlis,45 - 49,2
1999,2012,Perlis,Total,2484
2000,2011,Perlis,15 - 19,9
2001,2011,Perlis,20 - 24,67
2002,2011,Perlis,25 - 29,175
2003,2011,Perlis,30 - 34,161
2004,2011,Perlis,35 - 39,77
2005,2011,Perlis,40 - 44,21
2006,2011,Perlis,45 - 49,1
2007,2011,Perlis,Total,2562
2008,2010,Perlis,15 - 19,9
2009,2010,Perlis,20 - 24,73
2010,2010,Perlis,25 - 29,185
2011,2010,Perlis,30 - 34,154
2012,2010,Perlis,35 - 39,78
2013,2010,Perlis,40 - 44,19
2014,2010,Perlis,45 - 49,2
2015,2010,Perlis,Total,2598
2016,2009,Perlis,15 - 19,10
2017,2009,Perlis,20 - 24,84
2018,2009,Perlis,25 - 29,182
2019,2009,Perlis,30 - 34,162
2020,2009,Perlis,35 - 39,83
2021,2009,Perlis,40 - 44,25
2022,2009,Perlis,45 - 49,1
2023,2009,Perlis,Total,2730
2024,2008,Perlis,15 - 19,10
2025,2008,Perlis,20 - 24,85
2026,2008,Perlis,25 - 29,185
2027,2008,Perlis,30 - 34,157
2028,2008,Perlis,35 - 39,82
2029,2008,Perlis,40 - 44,27
2030,2008,Perlis,45 - 49,2
2031,2008,Perlis,Total,2741
2032,2007,Perlis,15 - 19,11
2033,2007,Perlis,20 - 24,83
2034,2007,Perlis,25 - 29,174
2035,2007,Perlis,30 - 34,150
2036,2007,Perlis,35 - 39,86
2037,2007,Perlis,40 - 44,23
2038,2007,Perlis,45 - 49,2
2039,2007,Perlis,Total,2640
2040,2006,Perlis,15 - 19,11
2041,2006,Perlis,20 - 24,77
2042,2006,Perlis,25 - 29,177
2043,2006,Perlis,30 - 34,158
2044,2006,Perlis,35 - 39,81
2045,2006,Perlis,40 - 44,25
2046,2006,Perlis,45 - 49,3
2047,2006,Perlis,Total,2671
2048,2005,Perlis,15 - 19,11
2049,2005,Perlis,20 - 24,84
2050,2005,Perlis,25 - 29,182
2051,2005,Perlis,30 - 34,151
2052,2005,Perlis,35 - 39,88
2053,2005,Perlis,40 - 44,29
2054,2005,Perlis,45 - 49,2
2055,2005,Perlis,Total,2738
2056,2004,Perlis,15 - 19,11
2057,2004,Perlis,20 - 24,84
2058,2004,Perlis,25 - 29,190
2059,2004,Perlis,30 - 34,154
2060,2004,Perlis,35 - 39,88
2061,2004,Perlis,40 - 44,32
2062,2004,Perlis,45 - 49,2
2063,2004,Perlis,Total,2814
2064,2003,Perlis,15 - 19,13
2065,2003,Perlis,20 - 24,90
2066,2003,Perlis,25 - 29,198
2067,2003,Perlis,30 - 34,150
2068,2003,Perlis,35 - 39,96
2069,2003,Perlis,40 - 44,34
2070,2003,Perlis,45 - 49,3
2071,2003,Perlis,Total,2915
2072,2002,Perlis,15 - 19,13
2073,2002,Perlis,20 - 24,95
2074,2002,Perlis,25 - 29,208
2075,2002,Perlis,30 - 34,166
2076,2002,Perlis,35 - 39,99
2077,2002,Perlis,40 - 44,34
2078,2002,Perlis,45 - 49,2
2079,2002,Perlis,Total,3084
2080,2001,Perlis,15 - 19,13
2081,2001,Perlis,20 - 24,111
2082,2001,Perlis,25 - 29,212
2083,2001,Perlis,30 - 34,156
2084,2001,Perlis,35 - 39,106
2085,2001,Perlis,40 - 44,37
2086,2001,Perlis,45 - 49,3
2087,2001,Perlis,Total,3196
2088,2018,Sarawak,15 - 19,16.6458
2089,2018,Sarawak,20 - 24,55.0069
2090,2018,Sarawak,25 - 29,83.7543
2091,2018,Sarawak,30 - 34,93.2366
2092,2018,Sarawak,35 - 39,58.0308
2093,2018,Sarawak,40 - 44,16.7734
2094,2018,Sarawak,45 - 49,1.1131
2095,2018,Sarawak,Total,1622.81
2096,2017,Sarawak,15 - 19,18
2097,2017,Sarawak,20 - 24,58
2098,2017,Sarawak,25 - 29,91
2099,2017,Sarawak,30 - 34,95
2100,2017,Sarawak,35 - 39,59
2101,2017,Sarawak,40 - 44,15
2102,2017,Sarawak,45 - 49,1
2103,2017,Sarawak,Total,1694
2104,2016,Sarawak,15 - 19,21
2105,2016,Sarawak,20 - 24,61
2106,2016,Sarawak,25 - 29,93
2107,2016,Sarawak,30 - 34,97
2108,2016,Sarawak,35 - 39,60
2109,2016,Sarawak,40 - 44,16
2110,2016,Sarawak,45 - 49,1
2111,2016,Sarawak,Total,1742
2112,2015,Sarawak,15 - 19,27
2113,2015,Sarawak,20 - 24,65
2114,2015,Sarawak,25 - 29,99
2115,2015,Sarawak,30 - 34,103
2116,2015,Sarawak,35 - 39,61
2117,2015,Sarawak,40 - 44,16
2118,2015,Sarawak,45 - 49,1
2119,2015,Sarawak,Total,1861
2120,2014,Sarawak,15 - 19,30
2121,2014,Sarawak,20 - 24,70
2122,2014,Sarawak,25 - 29,104
2123,2014,Sarawak,30 - 34,108
2124,2014,Sarawak,35 - 39,61
2125,2014,Sarawak,40 - 44,17
2126,2014,Sarawak,45 - 49,2
2127,2014,Sarawak,Total,1955
2128,2013,Sarawak,15 - 19,30
2129,2013,Sarawak,20 - 24,70
2130,2013,Sarawak,25 - 29,105
2131,2013,Sarawak,30 - 34,107
2132,2013,Sarawak,35 - 39,59
2133,2013,Sarawak,40 - 44,17
2134,2013,Sarawak,45 - 49,1
2135,2013,Sarawak,Total,1949
2136,2012,Sarawak,15 - 19,32
2137,2012,Sarawak,20 - 24,80
2138,2012,Sarawak,25 - 29,120
2139,2012,Sarawak,30 - 34,118
2140,2012,Sarawak,35 - 39,63
2141,2012,Sarawak,40 - 44,19
2142,2012,Sarawak,45 - 49,2
2143,2012,Sarawak,Total,2165
2144,2011,Sarawak,15 - 19,32
2145,2011,Sarawak,20 - 24,84
2146,2011,Sarawak,25 - 29,122
2147,2011,Sarawak,30 - 34,123
2148,2011,Sarawak,35 - 39,64
2149,2011,Sarawak,40 - 44,18
2150,2011,Sarawak,45 - 49,2
2151,2011,Sarawak,Total,2230
2152,2010,Sarawak,15 - 19,32
2153,2010,Sarawak,20 - 24,84
2154,2010,Sarawak,25 - 29,123
2155,2010,Sarawak,30 - 34,117
2156,2010,Sarawak,35 - 39,62
2157,2010,Sarawak,40 - 44,18
2158,2010,Sarawak,45 - 49,2
2159,2010,Sarawak,Total,2182
2160,2009,Sarawak,15 - 19,33
2161,2009,Sarawak,20 - 24,92
2162,2009,Sarawak,25 - 29,133
2163,2009,Sarawak,30 - 34,123
2164,2009,Sarawak,35 - 39,67
2165,2009,Sarawak,40 - 44,20
2166,2009,Sarawak,45 - 49,2
2167,2009,Sarawak,Total,2346
2168,2008,Sarawak,15 - 19,31
2169,2008,Sarawak,20 - 24,96
2170,2008,Sarawak,25 - 29,136
2171,2008,Sarawak,30 - 34,121
2172,2008,Sarawak,35 - 39,68
2173,2008,Sarawak,40 - 44,20
2174,2008,Sarawak,45 - 49,2
2175,2008,Sarawak,Total,2372
2176,2007,Sarawak,15 - 19,30
2177,2007,Sarawak,20 - 24,95
2178,2007,Sarawak,25 - 29,139
2179,2007,Sarawak,30 - 34,120
2180,2007,Sarawak,35 - 39,69
2181,2007,Sarawak,40 - 44,19
2182,2007,Sarawak,45 - 49,2
2183,2007,Sarawak,Total,2368
2184,2006,Sarawak,15 - 19,29
2185,2006,Sarawak,20 - 24,99
2186,2006,Sarawak,25 - 29,142
2187,2006,Sarawak,30 - 34,124
2188,2006,Sarawak,35 - 39,69
2189,2006,Sarawak,40 - 44,21
2190,2006,Sarawak,45 - 49,2
2191,2006,Sarawak,Total,2429
2192,2005,Sarawak,15 - 19,31
2193,2005,Sarawak,20 - 24,104
2194,2005,Sarawak,25 - 29,144
2195,2005,Sarawak,30 - 34,126
2196,2005,Sarawak,35 - 39,70
2197,2005,Sarawak,40 - 44,20
2198,2005,Sarawak,45 - 49,2
2199,2005,Sarawak,Total,2480
2200,2004,Sarawak,15 - 19,32
2201,2004,Sarawak,20 - 24,105
2202,2004,Sarawak,25 - 29,144
2203,2004,Sarawak,30 - 34,130
2204,2004,Sarawak,35 - 39,70
2205,2004,Sarawak,40 - 44,22
2206,2004,Sarawak,45 - 49,2
2207,2004,Sarawak,Total,2527
2208,2003,Sarawak,15 - 19,31
2209,2003,Sarawak,20 - 24,107
2210,2003,Sarawak,25 - 29,152
2211,2003,Sarawak,30 - 34,131
2212,2003,Sarawak,35 - 39,71
2213,2003,Sarawak,40 - 44,22
2214,2003,Sarawak,45 - 49,3
2215,2003,Sarawak,Total,2588
2216,2002,Sarawak,15 - 19,32
2217,2002,Sarawak,20 - 24,111
2218,2002,Sarawak,25 - 29,155
2219,2002,Sarawak,30 - 34,135
2220,2002,Sarawak,35 - 39,72
2221,2002,Sarawak,40 - 44,24
2222,2002,Sarawak,45 - 49,3
2223,2002,Sarawak,Total,2666
2224,2001,Sarawak,15 - 19,36
2225,2001,Sarawak,20 - 24,115
2226,2001,Sarawak,25 - 29,160
2227,2001,Sarawak,30 - 34,136
2228,2001,Sarawak,35 - 39,77
2229,2001,Sarawak,40 - 44,24
2230,2001,Sarawak,45 - 49,3
2231,2001,Sarawak,Total,2759
2232,2018,Terengganu,15 - 19,7.31147
2233,2018,Terengganu,20 - 24,60.431
2234,2018,Terengganu,25 - 29,174.277
2235,2018,Terengganu,30 - 34,203.364
2236,2018,Terengganu,35 - 39,132.79
2237,2018,Terengganu,40 - 44,41.2224
2238,2018,Terengganu,45 - 49,3.29428
2239,2018,Terengganu,Total,3113.45
2240,2017,Terengganu,15 - 19,9
2241,2017,Terengganu,20 - 24,64
2242,2017,Terengganu,25 - 29,180
2243,2017,Terengganu,30 - 34,208
2244,2017,Terengganu,35 - 39,128
2245,2017,Terengganu,40 - 44,40
2246,2017,Terengganu,45 - 49,3
2247,2017,Terengganu,Total,3161
2248,2016,Terengganu,15 - 19,10
2249,2016,Terengganu,20 - 24,62
2250,2016,Terengganu,25 - 29,193
2251,2016,Terengganu,30 - 34,215
2252,2016,Terengganu,35 - 39,126
2253,2016,Terengganu,40 - 44,38
2254,2016,Terengganu,45 - 49,4
2255,2016,Terengganu,Total,3236
2256,2015,Terengganu,15 - 19,10
2257,2015,Terengganu,20 - 24,68
2258,2015,Terengganu,25 - 29,208
2259,2015,Terengganu,30 - 34,217
2260,2015,Terengganu,35 - 39,127
2261,2015,Terengganu,40 - 44,41
2262,2015,Terengganu,45 - 49,3
2263,2015,Terengganu,Total,3361
2264,2014,Terengganu,15 - 19,11
2265,2014,Terengganu,20 - 24,68
2266,2014,Terengganu,25 - 29,212
2267,2014,Terengganu,30 - 34,217
2268,2014,Terengganu,35 - 39,124
2269,2014,Terengganu,40 - 44,40
2270,2014,Terengganu,45 - 49,3
2271,2014,Terengganu,Total,3378
2272,2013,Terengganu,15 - 19,11
2273,2013,Terengganu,20 - 24,69
2274,2013,Terengganu,25 - 29,214
2275,2013,Terengganu,30 - 34,205
2276,2013,Terengganu,35 - 39,121
2277,2013,Terengganu,40 - 44,40
2278,2013,Terengganu,45 - 49,4
2279,2013,Terengganu,Total,3319
2280,2012,Terengganu,15 - 19,12
2281,2012,Terengganu,20 - 24,72
2282,2012,Terengganu,25 - 29,227
2283,2012,Terengganu,30 - 34,206
2284,2012,Terengganu,35 - 39,132
2285,2012,Terengganu,40 - 44,45
2286,2012,Terengganu,45 - 49,4
2287,2012,Terengganu,Total,3489
2288,2011,Terengganu,15 - 19,11
2289,2011,Terengganu,20 - 24,76
2290,2011,Terengganu,25 - 29,229
2291,2011,Terengganu,30 - 34,201
2292,2011,Terengganu,35 - 39,127
2293,2011,Terengganu,40 - 44,42
2294,2011,Terengganu,45 - 49,4
2295,2011,Terengganu,Total,3458
2296,2010,Terengganu,15 - 19,12
2297,2010,Terengganu,20 - 24,81
2298,2010,Terengganu,25 - 29,238
2299,2010,Terengganu,30 - 34,196
2300,2010,Terengganu,35 - 39,122
2301,2010,Terengganu,40 - 44,43
2302,2010,Terengganu,45 - 49,4
2303,2010,Terengganu,Total,3479
2304,2009,Terengganu,15 - 19,13
2305,2009,Terengganu,20 - 24,87
2306,2009,Terengganu,25 - 29,227
2307,2009,Terengganu,30 - 34,192
2308,2009,Terengganu,35 - 39,124
2309,2009,Terengganu,40 - 44,45
2310,2009,Terengganu,45 - 49,5
2311,2009,Terengganu,Total,3463
2312,2008,Terengganu,15 - 19,12
2313,2008,Terengganu,20 - 24,89
2314,2008,Terengganu,25 - 29,214
2315,2008,Terengganu,30 - 34,194
2316,2008,Terengganu,35 - 39,128
2317,2008,Terengganu,40 - 44,48
2318,2008,Terengganu,45 - 49,5
2319,2008,Terengganu,Total,3445
2320,2007,Terengganu,15 - 19,10
2321,2007,Terengganu,20 - 24,84
2322,2007,Terengganu,25 - 29,204
2323,2007,Terengganu,30 - 34,197
2324,2007,Terengganu,35 - 39,127
2325,2007,Terengganu,40 - 44,50
2326,2007,Terengganu,45 - 49,4
2327,2007,Terengganu,Total,3380
2328,2006,Terengganu,15 - 19,10
2329,2006,Terengganu,20 - 24,84
2330,2006,Terengganu,25 - 29,210
2331,2006,Terengganu,30 - 34,193
2332,2006,Terengganu,35 - 39,125
2333,2006,Terengganu,40 - 44,48
2334,2006,Terengganu,45 - 49,6
2335,2006,Terengganu,Total,3377
2336,2005,Terengganu,15 - 19,9
2337,2005,Terengganu,20 - 24,87
2338,2005,Terengganu,25 - 29,214
2339,2005,Terengganu,30 - 34,200
2340,2005,Terengganu,35 - 39,126
2341,2005,Terengganu,40 - 44,52
2342,2005,Terengganu,45 - 49,5
2343,2005,Terengganu,Total,3465
2344,2004,Terengganu,15 - 19,10
2345,2004,Terengganu,20 - 24,89
2346,2004,Terengganu,25 - 29,233
2347,2004,Terengganu,30 - 34,199
2348,2004,Terengganu,35 - 39,134
2349,2004,Terengganu,40 - 44,58
2350,2004,Terengganu,45 - 49,7
2351,2004,Terengganu,Total,3644
2352,2003,Terengganu,15 - 19,10
2353,2003,Terengganu,20 - 24,93
2354,2003,Terengganu,25 - 29,235
2355,2003,Terengganu,30 - 34,203
2356,2003,Terengganu,35 - 39,134
2357,2003,Terengganu,40 - 44,55
2358,2003,Terengganu,45 - 49,8
2359,2003,Terengganu,Total,3685
2360,2002,Terengganu,15 - 19,10
2361,2002,Terengganu,20 - 24,104
2362,2002,Terengganu,25 - 29,254
2363,2002,Terengganu,30 - 34,207
2364,2002,Terengganu,35 - 39,140
2365,2002,Terengganu,40 - 44,63
2366,2002,Terengganu,45 - 49,7
2367,2002,Terengganu,Total,3927
2368,2001,Terengganu,15 - 19,11
2369,2001,Terengganu,20 - 24,123
2370,2001,Terengganu,25 - 29,269
2371,2001,Terengganu,30 - 34,205
2372,2001,Terengganu,35 - 39,147
2373,2001,Terengganu,40 - 44,68
2374,2001,Terengganu,45 - 49,9
2375,2001,Terengganu,Total,4161
