Year,State,Sex,Live_births
2011,Wilayah Persekutuan Labuan,Female,823
2011,Wilayah Persekutuan Labuan,Total,1734
2011,Wilayah Persekutuan Putrajaya,Male,1508
2011,Wilayah Persekutuan Putrajaya,Female,1448
2011,Wilayah Persekutuan Putrajaya,Total,2956
2017,Johor,Male,31648
2017,Johor,Female,29437
2017,Johor,Total,61085
2017,Kedah,Male,18991
2017,Kedah,Female,17702
2017,Kedah,Total,36693
2017,Kelantan,Male,20084
2017,Kelantan,Female,19038
2017,Kelantan,Total,39122
2017,Melaka,Male,7454
2017,Melaka,Female,6935
2017,Melaka,Total,14389
2017,Negeri Sembilan,Male,9390
2017,Negeri Sembilan,Female,8688
2017,Negeri Sembilan,Total,18078
2017,Pahang,Male,14111
2017,Pahang,Female,13444
2017,Pahang,Total,27555
2017,Perak,Male,17953
2017,Perak,Female,16885
2017,Perak,Total,34838
2017,Perlis,Male,2347
2017,Perlis,Female,2100
2017,Perlis,Total,4447
2017,Pulau Pinang,Male,11048
2017,Pulau Pinang,Female,10416
2017,Pulau Pinang,Total,21464
2017,Sabah,Male,27120
2017,Sabah,Female,25408
2017,Sabah,Total,52528
2017,Sarawak,Male,19543
2017,Sarawak,Female,18111
2017,Sarawak,Total,37654
2017,Selangor,Male,53823
2017,Selangor,Female,50164
2017,Selangor,Total,103987
2017,Terengganu,Male,14177
2017,Terengganu,Female,13734
2017,Terengganu,Total,27911
2017,Wilayah Persekutuan Kuala Lumpur,Male,12722
2017,Wilayah Persekutuan Kuala Lumpur,Female,12010
2017,Wilayah Persekutuan Kuala Lumpur,Total,24732
2017,Wilayah Persekutuan Labuan,Male,866
2017,Wilayah Persekutuan Labuan,Female,819
2017,Wilayah Persekutuan Labuan,Total,1685
2017,Wilayah Persekutuan Putrajaya,Male,1298
2017,Wilayah Persekutuan Putrajaya,Female,1219
2017,Wilayah Persekutuan Putrajaya,Total,2517
2018,Johor,Male,31656
2018,Johor,Female,29428
2018,Johor,Total,61084
2018,Kedah,Male,18462
2018,Kedah,Female,17181
2018,Kedah,Total,35643
2018,Kelantan,Male,19984
2018,Kelantan,Female,18376
